stage,csi_code,csi_code_description
Presentation/Proposal/RFQ,01-00-000,PRESENTATION/PROPOSAL/RFQ
Presentation/Proposal/RFQ,01-01-000,GENERAL CONDITIONS
Presentation/Proposal/RFQ,01-01-022,CONTINGENCY
Presentation/Proposal/RFQ,01-01-025,PLAN COPY EXPENSE
Presentation/Proposal/RFQ,01-01-100,PERMIT-BOND INSURANCE
Presentation/Proposal/RFQ,01-01-105,PERMITS
Presentation/Proposal/RFQ,01-01-110,BUILDING PERMIT
Presentation/Proposal/RFQ,01-01-115,PERMIT REVISIONS
Presentation/Proposal/RFQ,01-01-200,PRICE & PAYMENT PROCEDURES
Presentation/Proposal/RFQ,01-01-300,ADMINISTRATIVE REQUIREMENTS
Presentation/Proposal/RFQ,01-01-301,PROPERTY MANAGER
Presentation/Proposal/RFQ,01-01-302,VDC DIRECTOR
Presentation/Proposal/RFQ,01-01-304,INTERN
Presentation/Proposal/RFQ,01-01-305,SR PROJECT MANAGER
Presentation/Proposal/RFQ,01-01-308,ASSISTANT PROJECT MANAGER
Presentation/Proposal/RFQ,01-01-309,EXECUTIVE ASSISTANT
Presentation/Proposal/RFQ,01-01-310,ACCOUNTING
Presentation/Proposal/RFQ,01-01-311,EXECUTIVE MANAGEMENT
Presentation/Proposal/RFQ,01-01-312,LEED AP
Presentation/Proposal/RFQ,01-01-314,SUPERVISION
Presentation/Proposal/RFQ,01-01-315,FOREMAN
Presentation/Proposal/RFQ,01-01-316,PROJECT ADMINISTRATOR
Presentation/Proposal/RFQ,01-01-317,PROJECT COORDINATOR
Presentation/Proposal/RFQ,01-01-318,PROJECT MANAGER
Presentation/Proposal/RFQ,01-01-319,VEHICLE EXPENSE
Presentation/Proposal/RFQ,01-01-340,SCHEDULING
Presentation/Proposal/RFQ,01-01-400,QUALITY REQUIREMENTS
Presentation/Proposal/RFQ,01-01-405,GENERAL ATTORNEY
Presentation/Proposal/RFQ,01-01-410,ARCHITECTURE DESIGN
Presentation/Proposal/RFQ,01-01-412,SHOP DRAWINGS
Presentation/Proposal/RFQ,01-01-413,ESTIMATING
Presentation/Proposal/RFQ,01-01-414,DRAFTING
Presentation/Proposal/RFQ,01-01-415,LEED CONSULTING
Presentation/Proposal/RFQ,01-01-422,ENGINEERING
Presentation/Proposal/RFQ,01-01-424,THRESHOLD INSPECTOR
Presentation/Proposal/RFQ,01-01-425,SITE PLAN
Presentation/Proposal/RFQ,01-01-426,SURVEY
Presentation/Proposal/RFQ,01-01-430,CIVIL
Presentation/Proposal/RFQ,01-01-435,PROPERTY MANAGEMENT
Presentation/Proposal/RFQ,01-01-450,QUALITY CONTROL
Presentation/Proposal/RFQ,01-01-455,SPECIAL INSPECTOR
Presentation/Proposal/RFQ,01-01-457,TESTING & INSPECTION SERVICES
Presentation/Proposal/RFQ,01-01-459,UNDERGROUND INVESTIGATION
Presentation/Proposal/RFQ,01-01-460,SAFETY
Presentation/Proposal/RFQ,01-01-500,TEMPORARY FACILITIES & CONTROL
Presentation/Proposal/RFQ,01-01-505,MISC CONSUMABLES
Presentation/Proposal/RFQ,01-01-510,TEMPORARY UTILITIES
Presentation/Proposal/RFQ,01-01-511,TEMPORARY ELECTRICITY
Presentation/Proposal/RFQ,01-01-513,FUEL OR GAS
Presentation/Proposal/RFQ,01-01-514,TEMP HEATING/COOLING/VENTILATI
Presentation/Proposal/RFQ,01-01-515,TEMPORARY FENCE
Presentation/Proposal/RFQ,01-01-517,TEMPORARY TELEPHONE
Presentation/Proposal/RFQ,01-01-518,TEMPORARY WATER
Presentation/Proposal/RFQ,01-01-520,CONSTRUCTION FACILITIES
Presentation/Proposal/RFQ,01-01-521,FIELD OFFICES & SHEDS
Presentation/Proposal/RFQ,01-01-522,FIRST AID
Presentation/Proposal/RFQ,01-01-523,SANITARY FACILITIES
Presentation/Proposal/RFQ,01-01-525,GENERATORS & GAS
Presentation/Proposal/RFQ,01-01-530,TEMPORARY CONSTRUCTION
Presentation/Proposal/RFQ,01-01-531,COMPUTER SOFTWARE & LICENSING
Presentation/Proposal/RFQ,01-01-532,OFFICE EQUIPMENT & SUPPLIES
Presentation/Proposal/RFQ,01-01-533,COMPUTER HARDWARE
Presentation/Proposal/RFQ,01-01-534,SITE STORAGE
Presentation/Proposal/RFQ,01-01-535,PARKING
Presentation/Proposal/RFQ,01-01-536,COMPUTER OPERATION & MAINT
Presentation/Proposal/RFQ,01-01-540,CONSTRUCTION AIDS
Presentation/Proposal/RFQ,01-01-541,CONSTR ELEVATORS HOISTS & CRAN
Presentation/Proposal/RFQ,01-01-542,SCAFFOLDING & PLATFORMS
Presentation/Proposal/RFQ,01-01-544,EQUIPMENT RENTAL
Presentation/Proposal/RFQ,01-01-550,VEHICULAR ACCESS & PARKING
Presentation/Proposal/RFQ,01-01-552,JOB SIGN
Presentation/Proposal/RFQ,01-01-554,TEMPORARY ROADS
Presentation/Proposal/RFQ,01-01-555,TRAFFIC CONTROL
Presentation/Proposal/RFQ,01-01-556,PARKING
Presentation/Proposal/RFQ,01-01-560,TEMPORARY BARRIERS & ENCLOSURE
Presentation/Proposal/RFQ,01-01-562,BARRICADES
Presentation/Proposal/RFQ,01-01-563,DUST BARRIERS
Presentation/Proposal/RFQ,01-01-565,"ICE, CUPS & WATER COOLER"
Presentation/Proposal/RFQ,01-01-567,PROTECTIVE WALKWAYS
Presentation/Proposal/RFQ,01-01-568,SECURITY MEASURES
Presentation/Proposal/RFQ,01-01-569,TREE & PLANT PROTECTION
Presentation/Proposal/RFQ,01-01-570,TEMPORARY CONTROLS
Presentation/Proposal/RFQ,01-01-571,EROSION & SEDIMENT CONTROL
Presentation/Proposal/RFQ,01-01-572,PEST CONTROL
Presentation/Proposal/RFQ,01-01-580,PROJECT IDENTIFICATION
Presentation/Proposal/RFQ,01-01-581,PROJECT SIGNS
Presentation/Proposal/RFQ,01-01-600,MATERIALS & EQUIPMENT
Presentation/Proposal/RFQ,01-01-610,BASIC PRODUCT REQUIREMENTS
Presentation/Proposal/RFQ,01-01-612,JOBSITE CONSUMABLES
Presentation/Proposal/RFQ,01-01-620,MATERIAL HANDLING & ERRANDS
Presentation/Proposal/RFQ,01-01-640,OWNER-FURNISHED PRODUCTS
Presentation/Proposal/RFQ,01-01-650,PRODUCT DELIVERY REQUIREMENTS
Presentation/Proposal/RFQ,01-01-660,PRODUCT STORAGE & HANDLING
Presentation/Proposal/RFQ,01-01-700,EXECUTION REQUIREMENTS
Presentation/Proposal/RFQ,01-01-720,LAYOUT
Presentation/Proposal/RFQ,01-01-723,PROTECT ADJACENT CONSTRUCTION
Presentation/Proposal/RFQ,01-01-724,SURVEYING
Presentation/Proposal/RFQ,01-01-740,MOLD REMIDIATION
Presentation/Proposal/RFQ,01-01-741,FINAL CLEANING
Presentation/Proposal/RFQ,01-01-742,PROGRESS CLEANING
Presentation/Proposal/RFQ,01-01-743,SITE MAINTENANCE
Presentation/Proposal/RFQ,01-01-744,TRASH REMOVAL
Presentation/Proposal/RFQ,01-01-745,DUMPSTERS
Presentation/Proposal/RFQ,01-01-760,PROTECT INSTALLED CONSTRUCTION
Presentation/Proposal/RFQ,01-01-770,CLOSEOUT PROCEDURES
Presentation/Proposal/RFQ,01-01-772,PUNCHLIST
Presentation/Proposal/RFQ,01-01-774,PROJECT CLOSEOUT
Presentation/Proposal/RFQ,01-01-790,WARRANTY WORK
Presentation/Proposal/RFQ,01-01-800,ARCHITECTURAL SERVICES
Presentation/Proposal/RFQ,01-01-820,CONSTRUCTION DOCUMENTS
Presentation/Proposal/RFQ,01-01-821,LEED CERTIFICATION
Presentation/Proposal/RFQ,01-01-830,SHOP DRAWINGS
Presentation/Proposal/RFQ,01-01-840,PERMITTING & GOVERNMENT APPROV
Presentation/Proposal/RFQ,01-01-850,CONSTRUCTION ADMINISTRATION
Presentation/Proposal/RFQ,01-01-860,SCHEMATIC DESIGN
Presentation/Proposal/RFQ,01-01-870,PHOTOGRAPHS
Presentation/Proposal/RFQ,01-01-915,COMMISSIONING
Presentation/Proposal/RFQ,01-02-000,SITEWORK
Presentation/Proposal/RFQ,01-02-010,SITEWORK
Presentation/Proposal/RFQ,01-02-055,SOILS
Presentation/Proposal/RFQ,01-02-060,AGGREGATE
Presentation/Proposal/RFQ,01-02-070,GEOSYNTHETICS
Presentation/Proposal/RFQ,01-02-100,SITE REMEDIATION
Presentation/Proposal/RFQ,01-02-101,CLEARING HAND
Presentation/Proposal/RFQ,01-02-102,CLEARING & GRUBBING
Presentation/Proposal/RFQ,01-02-104,SHRUB & TREE RELOCATION
Presentation/Proposal/RFQ,01-02-110,EXCAV REMOVE HNDL HAZARDOUS MA
Presentation/Proposal/RFQ,01-02-111,ASBESTOS ABATEMENT
Presentation/Proposal/RFQ,01-02-112,"INTERIOR CLEAN-UP, DEMO, EMERG"
Presentation/Proposal/RFQ,01-02-115,UNDERGROUND STORAGE TANK REMOV
Presentation/Proposal/RFQ,01-02-120,OFF-SITE TRANSPORTATION & DISP
Presentation/Proposal/RFQ,01-02-150,HAZARDOUS WASTE RECOVERY
Presentation/Proposal/RFQ,01-02-200,SITE PREPARATION
Presentation/Proposal/RFQ,01-02-201,SURVEY
Presentation/Proposal/RFQ,01-02-210,SUBSURFACE INVESTIGATION
Presentation/Proposal/RFQ,01-02-211,BORING & EXPLORATORY DRILLING
Presentation/Proposal/RFQ,01-02-212,CORE DRILLING
Presentation/Proposal/RFQ,01-02-213,GEOPHYSICAL INVESTIGATIONS
Presentation/Proposal/RFQ,01-02-215,RIP RAP
Presentation/Proposal/RFQ,01-02-216,STANDARD PENETRATION TESTING
Presentation/Proposal/RFQ,01-02-217,TEST PITS
Presentation/Proposal/RFQ,01-02-218,EXPLORATORY DEMOLITION
Presentation/Proposal/RFQ,01-02-220,SITE DEMOLITION
Presentation/Proposal/RFQ,01-02-221,BUILDING DEMOLITION
Presentation/Proposal/RFQ,01-02-222,MINOR DEMOLITION FOR REMODELIN
Presentation/Proposal/RFQ,01-02-223,SELECTIVE SITE DEMOLITION
Presentation/Proposal/RFQ,01-02-224,FILL (REMOVE FILL FROM SITE)
Presentation/Proposal/RFQ,01-02-225,ASBESTOS ABATEMENT
Presentation/Proposal/RFQ,01-02-226,DEMUCKING
Presentation/Proposal/RFQ,01-02-227,WASTE MATERIAL DISPOSAL
Presentation/Proposal/RFQ,01-02-228,SILT MONITOR
Presentation/Proposal/RFQ,01-02-230,SITE CLEARING
Presentation/Proposal/RFQ,01-02-231,CLEARING & GRUBBING
Presentation/Proposal/RFQ,01-02-232,SELECTIVE CLEARING
Presentation/Proposal/RFQ,01-02-233,SELECTIVE TREE REMOVAL & TRIMM
Presentation/Proposal/RFQ,01-02-234,SOD STRIPPING
Presentation/Proposal/RFQ,01-02-236,TREE PRUNING
Presentation/Proposal/RFQ,01-02-240,DEWATERING
Presentation/Proposal/RFQ,01-02-250,SHORING & UNDERPINNING
Presentation/Proposal/RFQ,01-02-251,FOUNDATION GROUTING
Presentation/Proposal/RFQ,01-02-254,SHEETPILING
Presentation/Proposal/RFQ,01-02-257,SOIL STABILIZATION
Presentation/Proposal/RFQ,01-02-258,UNDERPINNING
Presentation/Proposal/RFQ,01-02-259,VIBROFLOTATION & DENSIFICATION
Presentation/Proposal/RFQ,01-02-260,EXCAVATION SUPPORT & PROTECTIO
Presentation/Proposal/RFQ,01-02-261,ANCHOR TIEBACKS
Presentation/Proposal/RFQ,01-02-276,SEAWALL
Presentation/Proposal/RFQ,01-02-290,SITE MONITORING
Presentation/Proposal/RFQ,01-02-300,EARTHWORK
Presentation/Proposal/RFQ,01-02-310,EARTHWORK
Presentation/Proposal/RFQ,01-02-311,FINISH GRADING
Presentation/Proposal/RFQ,01-02-312,ROUGH GRADING
Presentation/Proposal/RFQ,01-02-315,EXCAVATION & FILL
Presentation/Proposal/RFQ,01-02-316,BACKFILL
Presentation/Proposal/RFQ,01-02-317,COMPACTION
Presentation/Proposal/RFQ,01-02-318,EXCAVATION
Presentation/Proposal/RFQ,01-02-319,FILL
Presentation/Proposal/RFQ,01-02-320,AUGER PILES
Presentation/Proposal/RFQ,01-02-322,LAYOUT
Presentation/Proposal/RFQ,01-02-323,PILE LOG
Presentation/Proposal/RFQ,01-02-325,DREDGING
Presentation/Proposal/RFQ,01-02-330,PRESSURE GROUT
Presentation/Proposal/RFQ,01-02-335,SUBGRADE & ROADBED
Presentation/Proposal/RFQ,01-02-340,SOIL STABILIZATION
Presentation/Proposal/RFQ,01-02-350,GUNITE RETAINING WALL (ALLOWAN
Presentation/Proposal/RFQ,01-02-360,SOIL TREATMENT
Presentation/Proposal/RFQ,01-02-370,EROSION & SEDIMENTATION CONTRO
Presentation/Proposal/RFQ,01-02-371,DUST CONTROL
Presentation/Proposal/RFQ,01-02-390,SHORELINE PROTECTION & MOORING
Presentation/Proposal/RFQ,01-02-400,TUNNELING BORING & JACKING
Presentation/Proposal/RFQ,01-02-445,BORING OR JACKING
Presentation/Proposal/RFQ,01-02-450,FOUNDATION & LOAD-BEARING ELEM
Presentation/Proposal/RFQ,01-02-455,DRIVEN PILES
Presentation/Proposal/RFQ,01-02-456,CAST-IN-PLACE CONCRETE PILES
Presentation/Proposal/RFQ,01-02-457,DRIVEN PILE LOAD TESTS
Presentation/Proposal/RFQ,01-02-458,PRECAST CONCRETE PILES
Presentation/Proposal/RFQ,01-02-465,BORED PILES
Presentation/Proposal/RFQ,01-02-466,AUGER CAST GROUT PILES
Presentation/Proposal/RFQ,01-02-467,BORED & AUGERED PILE LOAT TEST
Presentation/Proposal/RFQ,01-02-468,BORED & AUGERED PILE REPAIRS
Presentation/Proposal/RFQ,01-02-469,LAYOUT
Presentation/Proposal/RFQ,01-02-470,SPOIL REMOVAL
Presentation/Proposal/RFQ,01-02-471,ENGINEERING & MONITORING
Presentation/Proposal/RFQ,01-02-480,FOUNDATION WALLS
Presentation/Proposal/RFQ,01-02-495,INSTRUMENTATION & MONITORING
Presentation/Proposal/RFQ,01-02-500,SITE DRAINAGE
Presentation/Proposal/RFQ,01-02-505,SITE UTILITIES
Presentation/Proposal/RFQ,01-02-510,WATER DISTRIBUTION
Presentation/Proposal/RFQ,01-02-520,WELLS
Presentation/Proposal/RFQ,01-02-530,SANITARY SEWERAGE
Presentation/Proposal/RFQ,01-02-540,SEPTIC TANK SYSTEMS
Presentation/Proposal/RFQ,01-02-550,SITE UTILITIES
Presentation/Proposal/RFQ,01-02-560,"SITE FIRE, TAP, INSP. STREET R"
Presentation/Proposal/RFQ,01-02-580,ELECTRICAL & COMMUNICATION STR
Presentation/Proposal/RFQ,01-02-590,SITE GROUNDING
Presentation/Proposal/RFQ,01-02-600,DRAINAGE & CONTAINMENT
Presentation/Proposal/RFQ,01-02-604,SHELL BASE
Presentation/Proposal/RFQ,01-02-608,CRUSHED STONE
Presentation/Proposal/RFQ,01-02-610,PIPE CULVERTS
Presentation/Proposal/RFQ,01-02-612,CONCRETE PAVING
Presentation/Proposal/RFQ,01-02-613,PREPARATION WORK FOR PAVER SYS
Presentation/Proposal/RFQ,01-02-615,CONCRETE PAVER SYSTEMS
Presentation/Proposal/RFQ,01-02-616,TILE PAVERS
Presentation/Proposal/RFQ,01-02-620,SUBDRAINAGE
Presentation/Proposal/RFQ,01-02-630,STORM DRAINAGE
Presentation/Proposal/RFQ,01-02-634,DECKS
Presentation/Proposal/RFQ,01-02-640,CULVERTS & MFG CONSTRUCTION
Presentation/Proposal/RFQ,01-02-700,BASES BALLASTS PAVEMENT & APPU
Presentation/Proposal/RFQ,01-02-710,BOUND BASE COURSES
Presentation/Proposal/RFQ,01-02-712,PLANTER WALLS
