csi_code,csi_code_description
00 00 00,ProcurementandContractingRequirements
03 65 26,ProjectTitlePage
03 65 28,ProjectDirectory
03 65 30,CertificationsPage
03 65 32,SealsPage
03 65 35,TableofContents
03 65 40,ListofDrawingSheets
03 65 45,ListofSchedules
00 10 00,Solicitation
00 11 00,AdvertisementsandInvitations
03 68 43,AdvertisementforBids
03 68 45,AdvertisementforPrequalificationofBidders
03 68 46,InvitationtoBid
03 68 49,RequestforProposal
00 11 53,RequestforQualifications
00 20 00,InstructionsforProcurement
00 21 00,Instructions
00 21 13,InstructionstoBidders
00 21 16,InstructionstoProposers
00 22 00,SupplementaryInstructions
00 22 13,SupplementaryInstructionstoBidders
00 22 16,SupplementaryInstructionstoProposers
00 23 00,ProcurementDefinitions
00 24 00,ProcurementScopes
00 24 13,ScopesofBids
00 24 13,ScopesofBids(MultipleContracts)
00 24 13,ScopesofBids(Multiple-PrimeContract)
00 24 16,ScopesofProposals
00 24 16,ScopesofProposals(MultipleContracts)
00 24 16,ScopesofProposals(Multiple-PrimeContract)
00 25 00,ProcurementMeetings
00 25 13,Pre-BidMeetings
00 25 16,Pre-ProposalMeetings
00 26 00,ProcurementSubstitutionProcedures
00 30 00,AvailableInformation
00 31 00,AvailableProjectInformation
00 31 13,PreliminarySchedules
00 31 13,PreliminaryProjectSchedule
00 31 13,PreliminaryConstructionSchedule
00 31 13,PreliminaryProjectPhases
00 31 13,PreliminaryProjectSequencing
00 31 13,PreliminaryProjectMilestones
00 31 16,ProjectBudgetInformation
00 31 19,ExistingConditionInformation
00 31 19,MovementandVibrationInformation
00 31 19,AcousticInformation
00 31 19,TrafficInformation
00 31 19,ExistingStructuralInformation
00 31 21,SurveyInformation
00 31 21,SiteSurveyInformation
00 31 21,MeasuredDrawingInformation
00 31 21,PhotographicInformation
00 31 24,EnvironmentalAssessmentInformation
00 31 24,SoilContaminationReport
00 31 24,EnvironmentalImpactStudyReport
00 31 24,EnvironmentalImpactReportEvaluation
00 31 24,RecordofEnvironmentalImpactDecision
00 31 24,EnvironmentalImpactMitigationReport
00 31 25,ExistingMaterialInformation
00 31 25,ExistingConcreteInformation
00 31 25,ExistingMasonryInformation
00 31 25,ExistingMetalsInformation
00 31 25,"ExistingWood,Plastics,andCompositesInformation"
00 31 25,ExistingThermalandMoistureProtectionInformation
00 31 26,ExistingHazardousMaterialInformation
00 31 26,ExistingAsbestosInformation
00 31 26,ExistingLeadInformation
00 31 26,ExistingPolychlorinateBiphenylInformation
00 31 26,ExistingMoldInformation
00 31 26,ExistingHazardousWasteDrumInformation
00 31 31,GeophysicalData
00 31 31,SeismicInvestigationsInformation
00 31 31,GravityInvestigationsInformation
00 31 31,MagneticInvestigationsInformation
00 31 31,ElectromagneticInvestigationsInformation
00 31 31,ElectricalResistivityInvestigationsInformation
00 31 31,MagnetotelluricInvestigationsInformation
00 31 32,GeotechnicalData
00 31 32,SubsurfaceDrillingandSamplingInformation
00 31 32,MaterialTestingInformation
00 31 32,ExploratoryExcavationInformation
00 31 32,GeotechnicalMonitoringInformation
00 31 43,PermitApplication
00 31 46,Permits
00 40 00,ProcurementFormsandSupplements
00 41 00,BidForms
00 41 13,BidForm-StipulatedSum(Single-PrimeContract)
00 41 16,BidForm-StipulatedSum(Multiple-PrimeContract)
00 41 23,BidForm-ConstructionManagement(Single-PrimeContract)
00 41 26,BidForm-ConstructionManagement(Multiple-PrimeContract)
00 41 33,BidForm-Cost-Plus-Fee(Single-PrimeContract)
00 41 36,BidForm-Cost-Plus-Fee(Multiple-PrimeContract)
00 41 43,BidForm-UnitPrice(Single-PrimeContract)
00 41 46,BidForm-UnitPrice(Multiple-PrimeContract)
00 41 53,BidForm-Design/Build(Single-PrimeContract)
00 41 56,BidForm-Design/Build(Multiple-PrimeContract)
00 41 63,BidForm-PurchaseContract
00 42 00,ProposalForms
00 42 13,ProposalForm-StipulatedSum(Single-PrimeContract)
00 42 16,ProposalForm-StipulatedSum(Multiple-PrimeContract)
00 42 23,ProposalForm-ConstructionManagement(Single-PrimeContract)
00 42 26,ProposalForm-ConstructionManagement(Multiple-PrimeContract)
00 42 33,ProposalForm-Cost-Plus-Fee(Single-PrimeContract)
00 42 36,ProposalForm-Cost-Plus-Fee(Multiple-PrimeContract)
00 42 43,ProposalForm-UnitPrice(Single-PrimeContract)
00 42 46,ProposalForm-UnitPrice(Multiple-PrimeContract)
00 42 53,ProposalForm-Design/Build(Single-PrimeContract)
00 42 56,ProposalForm-Design/Build(Multiple-PrimeContract)
00 42 63,ProposalForm-PurchaseContract
00 42 73,ProposalForm-PerformanceContract
00 43 00,ProcurementFormSupplements
00 43 13,BidSecurityForm
00 43 21,AllowanceForm
00 43 22,UnitPricesForm
00 43 23,AlternatesForm
00 43 25,SubstitutionRequestForm(DuringProcurement)
00 43 26,EstimatedQuantitiesForm
00 43 27,SeparatePricesBreak-OutForm
00 43 28,TaxRebateForm
00 43 33,ProposedProductsForm
00 43 36,ProposedSubcontractorsForm
00 43 39,MinorityBusinessEnterpriseStatementofIntentForm
00 43 43,WageRatesForm
00 43 73,ProposedScheduleofValuesForm
00 43 83,ProposedConstructionScheduleForm
00 43 86,ProposedWorkPlanScheduleForm
00 43 93,BidSubmittalChecklist
00 45 00,RepresentationsandCertifications
00 45 13,Bidder'sQualifications
00 45 16,Proposer'sQualifications
00 45 19,Non-CollusionAffidavit
00 45 23,StatementofDisposalFacility
00 45 26,WorkersCompensationCertificateSchedule
00 45 33,Non-SegregatedFacilitiesAffidavit
00 45 36,EqualEmploymentOpportunityAffidavit
00 45 39,MinorityBusinessEnterpriseAffidavit
00 45 43,CorporateResolutions
00 45 46,GovernmentalCertifications
00 50 00,ContractingFormsandSupplements
00 51 00,NoticeofAward
00 52 00,AgreementForms
00 52 13,AgreementForm-StipulatedSum(design/bid/buildor
,design/negotiate/build)
00 52 14,SubcontractForm-StipulatedSum(design/bid/buildor
,design/negotiate/build)
00 52 16,AgreementForm-Cost-Plus(design/bid/buildordesign/negotiate/build)
00 52 17,SubcontractForm-Cost-Plus(design/bid/buildordesign/negotiate/build)
00 52 23,AgreementForm-ConstructionManagerasAgentorAdvisor-Stipulated
,Sum
00 52 24,SubcontractForm-ConstructionManagerasAgentorAdviser-Stipulated
,Sum
00 52 26,AgreementForm-ConstructionManagerasAgentorAdviser-Cost-Plus
00 52 27,SubcontractForm-ConstructionManagerasAgentorAdviser-Cost-Plus
