Sub Job,Cost Code Tier 1,Cost Code Tier 2,Cost Code Tier 3,Cost Type,Budget Code,Budget Code Description,Original Budget Amount,Budget Modifications,Approved COs,Revised Budget,Pending Budget Changes,Projected Budget,Committed Costs,Direct Costs,Job to Date Costs,Pending Cost Changes,Projected Costs,Forecast To Complete,Estimated Cost at Completion,Projected over Under
None,None,None,None,None,"","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000 - CLOSED - DO NOT USE,03 - ESTIMATING,03-01 - GENERAL CONDITIONS,03-01-025 - PLAN COPY EXPENSE,MAT - Materials,0000.03-01-025.MAT,CLOSED - DO NOT USE.PLAN COPY EXPENSE.Materials,0.0,1032.4,0.0,1032.4,0.0,1032.4,0.0,1032.4,1032.4,0.0,1032.4,0.0,1032.4,0.0
0000 - CLOSED - DO NOT USE,03 - ESTIMATING,03-01 - GENERAL CONDITIONS,03-01-413 - ESTIMATING,LAB - Labor,0000.03-01-413.LAB,CLOSED - DO NOT USE.ESTIMATING.Labor,0.0,127360.67,0.0,127360.67,0.0,127360.67,0.0,127360.67,127360.67,0.0,127360.67,0.0,127360.67,0.0
0000 - CLOSED - DO NOT USE,03 - ESTIMATING,03-01 - GENERAL CONDITIONS,03-01-413 - ESTIMATING,LBN - Labor Burden,0000.03-01-413.LBN,CLOSED - DO NOT USE.ESTIMATING.Labor Burden,0.0,24487.19,0.0,24487.19,0.0,24487.19,0.0,24487.19,24487.19,0.0,24487.19,0.0,24487.19,0.0
0000 - CLOSED - DO NOT USE,03 - ESTIMATING,03-01 - GENERAL CONDITIONS,03-01-413 - ESTIMATING,MAT - Materials,0000.03-01-413.MAT,CLOSED - DO NOT USE.ESTIMATING.Materials,0.0,4278.99,0.0,4278.99,0.0,4278.99,0.0,4278.99,4278.99,0.0,4278.99,0.0,4278.99,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-025 - PLAN COPY EXPENSE,MAT - Materials,1000.10-01-025.MAT,TROPICAL WOLRD NURSERY-CONSTR.PLAN COPY EXPENSE.Materials,8500.0,0.0,0.0,8500.0,0.0,8500.0,0.0,294.43,294.43,0.0,294.43,8205.57,8500.0,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-100 - PRECONSTRUCTION,LAB - Labor,1000.10-01-100.LAB,TROPICAL WOLRD NURSERY-CONSTR.PRECONSTRUCTION.Labor,54720.0,0.0,0.0,54720.0,0.0,54720.0,0.0,0.0,0.0,0.0,0.0,54720.0,54720.0,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-302 - VDC DIRECTOR,LAB - Labor,1000.10-01-302.LAB,TROPICAL WOLRD NURSERY-CONSTR.VDC DIRECTOR.Labor,79934.29,-1000.0,0.0,78934.29,0.0,78934.29,0.0,1846.2,1846.2,0.0,1846.2,77088.09,78934.29,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-302 - VDC DIRECTOR,LBN - Labor Burden,1000.10-01-302.LBN,TROPICAL WOLRD NURSERY-CONSTR.VDC DIRECTOR.Labor Burden,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,418.93,418.93,0.0,418.93,581.07,1000.0,0.0
1000 - TROPICAL WOLRD NURSERY-CONSTR,10 - GENERAL CONDITIONS,10-01 - GENERAL CONDITIONS,10-01-308 - ASSISTANT PROJECT MANAGER,LAB - Labor,1000.10-01-308.LAB,TROPICAL WOLRD NURSERY-CONSTR.ASSISTANT PROJECT MANAGER.Labor,345113.28,-109022.66,0.0,236090.62,0.0,236090.62,0.0,11876.8,11876.8,0.0,11876.8,224213.82,236090.62,0.0
